drug,conn_score,n_sigs,state_id
emetine,-9.37155128931609,4,A1_L1_8
KO-143,-9.336891166988833,4,A0_L1_9
cucurbitacin-i,-9.33504265064093,3,A3_L1_9
BO2-inhibits-RAD51,-9.334575106984385,4,A1_L1_8
PJ-34,-9.323435523596084,4,A0_L1_9
BRD-K01121114,-9.32313985789813,4,A2_L1_12
SU-11652,-9.313398178331838,1,A1_L1_13
AKT-inhibitor-IV,-9.29398281516702,1,A3_L1_7
RHO-kinase-inhibitor-III[rockout],-9.2737927149219,4,A1_L1_5
lenalidomide,-9.237359872238564,4,A1_L1_5
AC-55649,-9.221473514520845,4,A3_L1_1
chaetocin,-9.221414719343448,4,A3_L1_5
BRD-K86574132,-9.200891961072038,4,A2_L1_12
mepacrine,-9.184342925014567,4,A2_L1_12
BMS-754807,-9.173916423318193,4,A2_L1_7
manumycin-a,-9.135606728168543,2,A0_L1_9
linsitinib,-9.095034042780375,4,A3_L1_5
PAC-1,-9.087015316213195,4,A3_L1_7
MK-1775,-9.069950201812926,4,A1_L1_8
Y-27632,-9.064795764169803,4,A3_L1_7
PF-3845,-9.057506330131876,4,A1_basin_edge_0
curcumin,-9.054228484006018,7,A1_L1_5
thioridazine,-9.045322832202253,4,A3_L1_7
dalcetrapib,-9.031268366824628,4,A3_L1_5
QS-11,-9.028300681748682,4,A2_L1_3
JZL-184,-9.012238283843155,4,A0_L1_8
paclitaxel,-8.992798966209499,2,A0_L1_13
XAV-939,-8.986832897355452,4,A1_L1_14
ABT-737,-8.982485816886042,4,A3_L1_7
FGIN-1-27,-8.971580739363155,4,A0_L1_13
menadione,-8.966885573999463,4,A1_L1_1
BRD-K77432048,-8.9606369356633,4,A3_L1_3
LE-135,-8.957909666441678,4,A1_L1_13
UTMB-00042,-8.944149208464273,16,A0_L1_13
flutamide,-8.932823700090253,4,A0_L1_8
SB-216763,-8.931680865159446,4,A1_L1_13
L-690330,-8.906911235350563,4,A2_L1_7
MW-STK33-1C,-8.889692752185205,16,A3_L1_5
BRD-K59019422,-8.874812132386353,4,A1_L1_1
importazole,-8.859474045358823,3,A0_L1_9
SCH-79797,-8.856001549463588,4,A2_L1_9
kinetin-riboside,-8.853759154537869,4,A3_L1_3
bisindolylmaleimide,-8.817787245248237,4,A3_L1_9
PNU-74654,-8.810555032113681,4,A2_L1_7
AG-14361,-8.795496353686609,4,A1_L1_5
NFKB-activation-inhibitor-II,-8.791024993157142,4,A3_L1_0
PT-630,-8.785118018847404,4,A3_L1_5
quinine,-8.775090066906845,4,A0_L1_8
PP-30,-8.767079904497788,4,A0_L1_11
thiazolopyrimidine,-8.765289693295855,4,A0_L1_13
blebbistatin,-8.760925483362234,4,A1_L1_5
tyrphostin-1,-8.746792648451892,4,A0_L1_8
fluoropyruvate,-8.738081981853066,4,A0_L1_13
oligomycin-a,-8.738046669356489,4,A3_L1_1
orteronel,-8.71382364188375,4,A3_L1_3
darinaparsin,-8.711634715948927,4,A0_L1_11
erastin,-8.7078425442433,4,A3_L1_5
BG-STK33-03,-8.703090456646606,16,A0_L1_9
BRD-K89329876,-8.69702808206464,4,A0_L1_13
methylene-blue,-8.694149739407964,4,A3_L1_13
MK-1775,-8.67846618371783,4,A0_L1_11
AKT-inhibitor-1-2,-8.659165696305148,4,A3_L1_7
parbendazole,-8.654971538808796,4,A3_L1_9
alda-1,-8.651283704979011,4,A0_L1_13
BRD-K59019422,-8.632749018266233,4,A3_L1_1
bisindolylmaleimide,-8.625926483350666,4,A1_basin_edge_0
AKT-inhibitor-IV,-8.61882491590026,1,A0_L1_8
valdecoxib,-8.600330811709384,4,A3_L1_1
LY-2183240,-8.595132723987874,4,A2_L1_0
"2',5'-dideoxyadenosine",-8.589116061568587,4,A2_L1_0
7-nitroindazole,-8.587729385785641,4,A3_L1_1
TG-101348,-8.544133362017892,4,A3_L1_9
idarubicin,-8.543170183338905,4,A2_L1_9
carbamazepine,-8.524309647042788,4,A1_basin_edge_0
COT-10b,-8.483654627909928,4,A0_L1_8
"16,16-dimethylprostaglandin-e2",-8.482998822217468,4,A1_L1_8
BRD-K73261812,-8.472455461626456,4,A2_L1_12
CHEMBL-399379,-8.472216872509115,3,A1_L1_0
losartan,-8.462259249141093,4,A1_L1_13
teniposide,-8.460495549191661,4,A3_L1_9
brefeldin-a,-8.457478350377048,4,A0_L1_8
darinaparsin,-8.455577888951403,4,A3_L1_5
vemurafenib,-8.453617629596923,4,A3_L1_5
BRD-K56477805,-8.45122621921373,4,A1_L1_1
elesclomol,-8.449448549516568,4,A1_L1_5
endo-IWR-1,-8.44664969357071,4,A1_L1_5
STK-064652,-8.424390323626566,4,A1_L1_14
BRD-K89329876,-8.404095549045108,4,A0_L1_11
K1448,-8.380665984602171,2,A1_basin_edge_0
resveratrol,-8.377608999078257,4,A0_L1_13
pifithrin-alpha,-8.37408879694176,4,A1_L1_5
narciclasine,-8.364198031581225,2,A3_L1_9
XAV-939,-8.360627186800327,4,A3_L1_1
SCH-79797,-8.35776369805039,4,A1_L1_13
perhexiline,-8.351482769271541,4,A2_L1_12
MK-1775,-8.34672627702517,4,A1_L1_14
cucurbitacin-i,-8.339617156943566,3,A2_L1_9
BRD-K35716340,-8.337671072852123,4,A1_L1_14
rucaparib,-8.331885377110696,4,A3_L1_13
BRD-A98248982,-8.331795003544878,4,A1_L1_5
7-nitroindazole,-8.331777043258661,4,A1_L1_5
gemcitabine,-8.316828354139583,4,A1_L1_13
chaetocin,-8.291114403524306,4,A1_L1_8
UNC-0321,-8.278903152117067,4,A3_L1_13
"2',5'-dideoxyadenosine",-8.276376731828908,4,A0_L1_11
GW-405833,-8.272613328298826,4,A1_L1_14
bortezomib,-8.257177110853698,4,A1_L1_1
phorbol-myristate-acetate,-8.251337738383839,15,A1_L1_13
CI-976,-8.232695277684327,4,A1_L1_1
BRD-A56001686,-8.229098933858396,2,A1_L1_0
Y-27632,-8.225579158220548,4,A0_L1_11
CD-437,-8.21976035899625,4,A2_L1_12
CHEMBL-1222381,-8.218395971947492,4,A1_basin_edge_0
clonidine,-8.205214867690533,4,A2_L1_3
PK-11195,-8.203814487345879,4,A1_L1_12
BRD-K78716413,-8.200246439699404,4,A0_L1_13
piperlongumine,-8.195062916303044,4,A0_L1_8
BRD-K92317137,-8.19306507341128,4,A1_L1_8
artesunate,-8.179798471411061,4,A1_L1_12
trichostatin-a,-8.173333474404913,20,A3_L1_9
chaetocin,-8.169442963752667,4,A3_L1_3
PRL-3-inhibitor-I,-8.168416458082259,4,A3_L1_13
BRD-K86574132,-8.154085670328742,4,A1_L1_13
BRD-K84924563,-8.152325881276237,4,A1_L1_1
AGK-2,-8.136750991299138,4,A1_L1_13
AICA-ribonucleotide,-8.104577283009352,4,A2_L1_0
CYT-997,-8.09984575797157,4,A2_L1_7
YM-155,-8.08954839377962,4,A1_L1_8
idarubicin,-8.080259623252067,4,A1_L1_13
CT-200783,-8.073256934335374,4,A1_L1_1
bisindolylmaleimide,-8.066883272632925,4,A0_L1_13
BRD-A12083771,-8.060278113713386,4,A1_L1_2
ABT-737,-8.058227760531462,4,A2_L1_12
SCH-79797,-8.057778012499304,4,A0_L1_11
PRIMA1,-8.054131999165662,4,A3_L1_3
BRD-K17777116,-8.053307801056832,2,A3_L1_3
kinetin-riboside,-8.028891337913134,4,A0_L1_8
serdemetan,-8.017887229831535,4,A1_basin_edge_0
BRD-K05649647,-8.011525821843499,4,A1_L1_14
Ro-28-1675,-7.9953493402552445,4,A0_L1_8
SU-11652,-7.994861745641481,1,A1_L1_0
carbamazepine,-7.979060920028633,4,A1_L1_1
PF-3845,-7.974933954855171,4,A3_L1_1
PAC-1,-7.963121040500567,4,A1_L1_13
lenalidomide,-7.961256576641775,4,A3_L1_1
rotenone,-7.956009986872176,4,A0_L1_11
KU-0063794,-7.94493145218436,4,A0_L1_8
FTI-276,-7.923471331553705,4,A1_L1_14
bisindolylmaleimide,-7.923394596516756,4,A1_L1_2
ASN-05257430,-7.91010285353964,4,A3_L1_13
BRD-K30064966,-7.895543106039538,4,A3_L1_1
RG-108,-7.884359524567969,4,A0_L1_11
niguldipine,-7.836222985945823,4,A1_basin_edge_0
penfluridol,-7.833158506522585,1,A1_L1_0
rotenone,-7.832636932678508,4,A3_L1_1
triptolide,-7.828968477784851,4,A0_L1_11
BRD-A98248982,-7.812532920518805,4,A3_L1_1
K1448,-7.804908359540092,2,A2_L1_7
IKK-inhibitor-X,-7.802926945024085,4,A3_L1_13
NFKB-activation-inhibitor-II,-7.78015454337508,4,A2_L1_3
ursolic-acid,-7.77345196802707,4,A1_L1_0
HLI-373,-7.770735279126606,4,A2_L1_3
GANT-58,-7.769846741707801,4,A0_L1_11
BRD-K90735586,-7.760800613620553,4,A1_L1_14
emetine,-7.742798970765515,4,A1_L1_14
FK-866,-7.740375017618259,4,A3_L1_0
trifluoperazine,-7.737252486851865,4,A1_L1_8
sonidegib,-7.7285087244934765,4,A1_L1_12
phorbol-myristate-acetate,-7.725726139094082,15,A1_L1_1
BMS-641988,-7.7169336542688844,4,A3_L1_1
alda-1,-7.6995059593151485,4,A1_basin_edge_0
CYT-997,-7.695693964923517,4,A0_L1_11
erastin,-7.683806284869415,4,A3_L1_1
sulforaphane,-7.665227217263228,4,A2_L1_9
bucladesine,-7.6508251374409735,4,A3_L1_1
pemetrexed,-7.64885973857421,4,A3_L1_3
AM-580,-7.642298568847889,4,A2_L1_12
LDN-193189,-7.635723105487055,1,A1_L1_12
geldanamycin,-7.604289071680373,20,A2_L1_12
QS-11,-7.5856517031040696,4,A3_L1_13
K-9944,-7.57624687255748,2,A1_L1_8
BX-795,-7.56920005601868,4,A2_L1_7
PX-12,-7.559158954753642,4,A3_L1_9
BRD-K92317137,-7.557779230242323,4,A2_L1_7
SRT-1720,-7.553724604087602,4,A1_L1_2
BRD-K05402890,-7.550788854639843,4,A3_L1_3
parbendazole,-7.538379224784155,4,A2_L1_9
CYT-997,-7.530694996543137,4,A1_basin_edge_0
BO2-inhibits-RAD51,-7.528659947928023,4,A2_L1_0
verapamil,-7.522972905806968,4,A1_basin_edge_0
UK-356618,-7.508526354901507,4,A1_L1_3
PTB1,-7.50229829115293,4,A2_L1_3
UNC-0321,-7.491139351137747,4,A1_basin_edge_0
cytarabine,-7.480522873342147,2,A1_L1_0
LE-135,-7.45909901739399,4,A3_L1_13
BRD-K86682249,-7.457025609617778,4,A3_L1_1
PX-12,-7.45504942885905,4,A2_L1_7
BMS-299897,-7.453071946755024,4,A1_L1_2
AZD-7545,-7.423073625215093,4,A2_L1_12
LY-2183240,-7.416517481004828,4,A2_L1_9
calcitriol,-7.4149697270337285,20,A2_L1_7
BRD-K92317137,-7.4079476453138025,4,A3_L1_3
MW-STK33-97,-7.4015338752155095,16,A3_L1_13
BRD-K28100108,-7.398839659956399,4,A3_L1_13
forskolin,-7.391257729344286,4,A2_L1_3
BRD-K41087962,-7.3752496976480035,4,A2_L1_0
emetine,-7.373067025458717,4,A3_L1_9
sulforaphane,-7.362081915923819,4,A1_L1_8
dalcetrapib,-7.361506748514075,4,A2_L1_0
phenoxazine,-7.361204620015864,4,A1_L1_12
pyrvinium-pamoate,-7.3562076683549265,4,A1_L1_0
LDN-193189,-7.353470814068926,1,A1_L1_0
importazole,-7.35256226957244,3,A1_L1_0
parthenolide,-7.350638701577179,10,A3_L1_9
forskolin,-7.342508216705591,4,A2_L1_0
BRD-A36275421,-7.338616519580391,2,A1_L1_0
BRD-K77432048,-7.335443078264298,4,A2_L1_9
TUL_XX087,-7.307357607754223,16,A2_L1_0
Y-27632,-7.304214218606251,4,A1_L1_1
PX-12,-7.280751470701567,4,A1_basin_edge_0
TPCA-1,-7.277794707426442,4,A2_L1_12
L-690330,-7.274471701203716,4,A1_L1_14
CD-437,-7.272348628235638,4,A1_L1_12
quinoclamine,-7.267977061333648,4,A2_L1_9
resveratrol,-7.26714351379747,4,A1_L1_10
cerulenin,-7.2315146506012855,4,A2_L1_12
GW-405833,-7.227338063240774,4,A1_L1_8
mepacrine,-7.211801600591347,4,A2_L1_9
BX-795,-7.208145127786442,4,A1_L1_8
pifithrin-mu,-7.201664129186841,4,A2_L1_0
penfluridol,-7.198728957631461,1,A1_L1_1
emetine,-7.192952625974157,4,A2_L1_0
BX-795,-7.167757322891976,4,A2_L1_9
BRD-K30064966,-7.144170452087387,4,A1_L1_10
GW-843682X,-7.142989785631785,4,A3_L1_13
15-delta-prostaglandin-j2,-7.117067180743367,4,A2_L1_12
quinoclamine,-7.11570785436173,4,A3_L1_3
PF-750,-7.114084243636885,4,A1_L1_12
BRD-K77432048,-7.1049673200555485,4,A1_L1_8
cucurbitacin-i,-7.093242330709883,3,A2_L1_7
methiazole,-7.074603315819221,6,A1_L1_3
veliparib,-7.05278780894321,4,A1_L1_0
phorbol-myristate-acetate,-7.035247909789429,15,A3_L1_9
K1448,-7.033253118465645,2,A1_L1_12
BRD-K59036917,-7.020445360781099,4,A3_L1_0
AM-580,-7.009307433139364,4,A2_L1_9
BRD-K86574132,-7.008036999367708,4,A2_L1_7
UK-356618,-7.002048182998053,4,A1_L1_10
BX-795,-6.989898393194704,4,A3_L1_9
sonidegib,-6.983326998003596,4,A1_L1_0
LE-135,-6.975538362827459,4,A2_L1_12
ABT-751,-6.964559258473523,4,A2_L1_7
M2-PK-activator,-6.956884704549086,4,A3_L1_9
BRD-K90999434,-6.931041003729387,4,A1_basin_edge_0
TUL_XX087,-6.927009942523404,16,A3_L1_3
SKI-II,-6.911847669087938,4,A1_L1_3
BRD-K05402890,-6.905862351203082,4,A1_L1_14
Y-27632,-6.89873579297546,4,A1_L1_0
ISOX,-6.8712235921840055,4,A1_L1_12
rosiglitazone,-6.838358057007195,4,A1_L1_8
tozasertib,-6.836388221446624,4,A2_L1_12
artesunate,-6.8290763223137985,4,A2_L1_0
tosedostat,-6.82517910212642,4,A3_L1_9
BRD-K56411643,-6.8240182088638255,2,A1_L1_0
GANT-58,-6.820239617530339,4,A1_L1_1
AZD-8055,-6.817645136447062,4,A1_L1_0
zebularine,-6.807839035288743,4,A2_L1_9
methiazole,-6.807524883342824,6,A1_L1_8
BRD-A12083771,-6.807263911011482,4,A2_L1_9
Ro-28-1675,-6.793296347955785,4,A1_L1_0
SJ-172550,-6.790181890669869,4,A2_L1_0
cytarabine,-6.783002332767099,2,A2_L1_9
BRD-K92980438,-6.760619223970103,4,A2_L1_3
BRD-K92980438,-6.746655134065022,4,A3_L1_9
BMS-536924,-6.7455980697598195,4,A1_L1_14
BRD-K77432048,-6.743646105768917,4,A1_L1_2
AM-580,-6.711710220760269,4,A2_L1_3
ingenol,-6.703982513673866,4,A3_L1_3
MW-A1-12,-6.694553725935542,4,A1_L1_12
TUL-XXI039,-6.690098669570682,16,A2_L1_3
teniposide,-6.687920108588504,4,A2_L1_9
ABT-751,-6.686175827561288,4,A2_L1_9
orantinib,-6.683833447421098,4,A3_L1_0
BRD-K30064966,-6.681462208151656,4,A1_L1_14
PJ-34,-6.677446778233603,4,A1_L1_1
cucurbitacin-i,-6.671743125344684,3,A2_L1_12
ABT-751,-6.651663551396648,4,A1_basin_edge_0
BRD-K05402890,-6.643916847546375,4,A2_L1_3
STAT3-inhibitor-VI,-6.638408212632922,4,A1_L1_0
BRD-K08451418,-6.632613479425617,4,A2_L1_0
fluoropyruvate,-6.629389751641593,4,A2_L1_3
BRD-K98404142,-6.620321694897863,4,A2_L1_7
PAC-1,-6.603806150407383,4,A1_L1_12
AKT-inhibitor-1-2,-6.594873233470327,4,A1_L1_12
BRD-K86574132,-6.571653733145865,4,A1_L1_12
AC-55649,-6.570254318469766,4,A1_L1_10
chaetocin,-6.5426168845214905,4,A1_L1_10
neratinib,-6.5404223736514595,4,A1_basin_edge_0
NSC-23766,-6.538187504609397,4,A1_L1_8
tozasertib,-6.514514159276085,4,A1_L1_12
BRD-K05402890,-6.514229865020959,4,A2_L1_0
phenoxazine,-6.510010867820779,4,A1_L1_3
NU-1025,-6.499217081289556,4,A2_L1_0
endo-IWR-1,-6.489461987235624,4,A1_L1_8
parthenolide,-6.486743141178167,10,A1_L1_12
ABT-751,-6.476478831857259,4,A2_L1_0
FK-866,-6.462660305419432,4,A2_L1_3
clonidine,-6.457016495698765,4,A2_L1_7
PIK-75,-6.4540138026950356,3,A1_L1_0
pifithrin-mu,-6.452084117256899,4,A1_L1_1
BRD-K05402890,-6.449503056798388,4,A3_L1_0
daunorubicin,-6.4242487742447185,14,A1_L1_12
BRD-K90735586,-6.4202904264217615,4,A1_L1_8
BRD-K01121114,-6.418916513447256,4,A1_L1_12
phorbol-12-myristate-13-acetate,-6.413423811590371,4,A1_L1_8
PRIMA1,-6.402133764641874,4,A1_L1_2
LE-135,-6.389595675200436,4,A1_L1_3
Y-27632,-6.372449347465571,4,A1_L1_12
BRD-K77432048,-6.359714306539138,4,A3_L1_9
BRD-K71726959,-6.34803072090142,4,A1_L1_1
BRD-K28100108,-6.339710841139654,4,A1_basin_edge_0
forskolin,-6.324656029005069,4,A3_L1_0
HLI-373,-6.276997751689509,4,A1_L1_2
epigallocatechin,-6.213380015649239,4,A1_L1_1
BRD-K77432048,-6.203053647545303,4,A3_L1_0
MRE-269,-6.200243556465163,16,A2_L1_7
ZM-336372,-6.1864680222078015,4,A1_L1_12
temsirolimus,-6.18080341048381,4,A1_L1_12
pifithrin-mu,-6.176297642063317,4,A3_L1_0
elesclomol,-6.1606144999639465,4,A2_L1_3
BRD-K59036917,-6.106210115152105,4,A2_L1_0
TUL_XX087,-6.087598691325981,16,A1_L1_2
methiazole,-6.050799227252045,6,A2_L1_3
BRD-K92980438,-6.049273906387796,4,A2_L1_0
valproic-acid,-6.0443415685547395,4,A1_L1_10
BMS-299897,-6.03105940810689,4,A2_L1_3
AG-14361,-6.017233247420626,4,A1_L1_1
BRD-A81936046,-6.003387565279193,4,A1_L1_10
ARG-CSC-91,-5.990351063558396,4,A1_L1_1
tivozanib,-5.985173613442037,4,A2_L1_3
calpeptin,-5.9773083692210855,4,A1_L1_2
UNC-0321,-5.938729520124266,4,A3_L1_0
BRD-K03439359,-5.924859398658878,16,A1_L1_2
TPCA-1,-5.909066328436872,4,A1_L1_2
BAY-K-8644-(S)-(-),-5.905251498717588,4,A1_L1_10
BRD-A56001686,-5.881759796121412,2,A1_L1_1
PAC-1,-5.873017191599437,4,A1_basin_edge_0
mepacrine,-5.863791779331337,4,A3_L1_0
nitrendipine,-5.853645043868865,4,A3_L1_0
BRD-K86682249,-5.848718539088024,4,A1_L1_1
pifithrin-mu,-5.847686532275506,4,A1_L1_3
ingenol,-5.845666252694547,4,A2_L1_3
LY-2183240,-5.829425633376184,4,A1_basin_edge_0
neratinib,-5.828464630581767,4,A2_L1_7
PI-103,-5.809706518965925,4,A2_L1_7
YM-155,-5.794631767529811,4,A1_L1_3
BAY-11-7082,-5.772545940959871,4,A2_L1_3
chaetocin,-5.739135668083147,4,A1_L1_3
BRD-K05402890,-5.6883575136738695,4,A1_L1_10
RS-23597-190,-5.679209047811007,4,A1_L1_2
tozasertib,-5.663928074548208,4,A1_L1_2
tolazamide,-5.635332580345967,4,A1_L1_2
GW-843682X,-5.6285925017642295,4,A3_L1_0
mepacrine,-5.610027309106643,4,A1_L1_2
vorinostat,-5.599027122674443,10,A1_basin_edge_0
clonidine,-5.545473355366401,4,A1_basin_edge_0
kinetin-riboside,-5.525210031800021,4,A2_L1_3
BMS-754807,-5.523068437263836,4,A3_L1_0
BRD-K05649647,-5.517373685569348,4,A1_L1_3
amiodarone,-5.503091253212778,4,A3_L1_0
3-amino-benzamide,-5.4994042759554285,4,A1_L1_3
BRD-K92317137,-5.49539279534007,4,A1_L1_10
gossypol,-5.406174312069429,4,A1_L1_2
YM-155,-5.401764904808477,4,A3_L1_0
parbendazole,-5.3871811335240505,4,A3_L1_0
CI-976,-5.3583789128889725,4,A1_L1_10
artesunate,-5.354500160909442,4,A3_L1_0
NF-449,-5.338928299870866,4,A1_L1_2
erastin,-5.323276861036432,4,A1_L1_10
BRD-K56477805,-5.31119151911251,4,A1_L1_10
BRD-K17777116,-5.306609860775178,2,A1_L1_2
rotenone,-5.298942013534811,4,A1_L1_10
quinoclamine,-5.286894332684405,4,A1_L1_3
tyrphostin-1,-5.25081309292049,4,A1_L1_10
CAY-10594,-5.239924594746947,4,A1_L1_2
BRD-K98404142,-5.213358646705876,4,A3_L1_0
nifedipine,-5.189261379438211,4,A1_L1_10
temozolomide,-5.178928725935542,4,A1_L1_10
tosedostat,-5.150121415675993,4,A3_L1_0
purmorphamine,-5.1169762600043285,4,A1_L1_10
BRD-K86682249,-5.083906940453011,4,A1_L1_10
fumonisin-b1,-5.0458789128889725,4,A1_L1_10
ABT-751,-4.9274411602576205,4,A1_L1_3
BMS-754807,-4.91800159441223,4,A1_L1_3
capsaicin,-4.905926625637593,4,A1_L1_3
PAC-1,-4.865801602087741,4,A1_L1_3
BAY-11-7082,-4.813104222177218,4,A3_L1_0
dalcetrapib,-4.721985706111799,4,A1_L1_3
artesunate,-4.66763788002484,4,A1_L1_3
QS-11,-4.637371086363414,4,A1_L1_3
BRD-K21614065,-4.594202462442347,4,A1_L1_3
GW-843682X,-4.566299376190577,4,A1_L1_3
